transaction_id,user_id,merchant_id,merchant_category,amount,txn_timestamp,is_fraud
T103961,U10037,M1045,pharmacy,25.0,2026-04-01 01:03:59,0
T103554,U10075,M1040,electronics,117.94,2026-04-01 01:19:00,0
T103163,U10144,M1057,electronics,9.41,2026-04-01 01:58:09,0
T102681,U10025,M1022,electronics,648.15,2026-04-01 07:10:16,0
T107553,U10180,M1005,fashion,56.37,2026-04-01 07:44:06,0
T103489,U10265,M1028,gambling,130.27,2026-04-01 09:45:16,0
T104320,U10147,M1053,crypto,26.56,2026-04-01 10:03:51,0
T107753,U10095,M1006,grocery,64.42,2026-04-01 10:37:12,0
T102322,U10229,M1002,restaurant,41.26,2026-04-01 11:53:05,0
T102543,U10051,M1034,fashion,15.96,2026-04-01 12:10:55,0
T103312,U10028,M1004,crypto,120.34,2026-04-01 12:25:31,0
T103027,U10266,M1012,utilities,30.04,2026-04-01 12:28:49,0
T107688,U10001,M1005,fashion,49.59,2026-04-01 12:40:27,0
T104037,U10161,M1042,utilities,45.69,2026-04-01 14:10:30,0
T102498,U10144,M1013,utilities,16.43,2026-04-01 14:38:05,0
T101927,U10244,M1050,utilities,64.13,2026-04-01 15:22:30,0
T107777,U10054,M1058,utilities,18.8,2026-04-01 15:24:35,0
T106417,U10176,M1040,electronics,31.46,2026-04-01 17:18:04,0
T106606,U10046,M1046,crypto,21.31,2026-04-01 18:04:50,0
T104351,U10289,M1035,grocery,5.98,2026-04-01 19:03:53,0
T102368,U10287,M1004,crypto,26.91,2026-04-01 19:35:20,0
T102671,U10038,M1034,fashion,69.52,2026-04-01 20:22:03,0
T101344,U10127,M1055,grocery,30.69,2026-04-01 20:30:44,0
T106845,U10254,M1056,gambling,11.89,2026-04-01 21:25:44,0
T105794,U10106,M1015,utilities,29.41,2026-04-01 21:26:24,0
T101392,U10297,M1015,utilities,164.83,2026-04-01 21:32:00,0
T107440,U10038,M1021,gaming,68.86,2026-04-01 21:40:45,0
T102051,U10173,M1009,grocery,51.06,2026-04-01 21:46:20,0
T101704,U10012,M1037,fashion,74.68,2026-04-01 22:49:55,0
T103086,U10114,M1040,electronics,59.55,2026-04-01 22:57:42,0
T107555,U10215,M1026,crypto,13.3,2026-04-01 23:02:58,0
T103491,U10207,M1019,crypto,11.86,2026-04-01 23:30:15,0
T103595,U10131,M1052,gaming,37.72,2026-04-01 23:58:19,0
T103679,U10149,M1001,utilities,39.67,2026-04-02 00:32:04,0
T102708,U10102,M1051,electronics,22.62,2026-04-02 00:51:32,0
T104226,U10050,M1059,restaurant,29.86,2026-04-02 01:14:23,0
T103572,U10110,M1058,utilities,29.74,2026-04-02 01:22:28,0
T100683,U10291,M1031,travel,26.33,2026-04-02 01:24:41,0
T102213,U10059,M1013,utilities,52.8,2026-04-02 01:25:47,0
T100179,U10173,M1022,electronics,21.11,2026-04-02 02:06:31,0
T107472,U10135,M1026,crypto,25.24,2026-04-02 02:21:06,0
T100903,U10086,M1035,grocery,20.64,2026-04-02 02:38:45,0
T103728,U10079,M1035,grocery,33.36,2026-04-02 03:08:56,0
T104695,U10279,M1027,fashion,104.6,2026-04-02 03:44:27,0
T105751,U10122,M1042,utilities,4.85,2026-04-02 03:56:01,0
T102664,U10089,M1037,fashion,28.63,2026-04-02 04:30:24,0
T103599,U10269,M1030,crypto,60.22,2026-04-02 04:42:52,0
T104358,U10231,M1052,gaming,22.98,2026-04-02 05:11:05,0
T102328,U10224,M1059,restaurant,19.77,2026-04-02 05:20:32,0
T107442,U10298,M1027,fashion,19.78,2026-04-02 05:30:09,0
T107261,U10008,M1008,travel,29.19,2026-04-02 06:51:07,0
T104003,U10238,M1053,crypto,23.85,2026-04-02 07:05:19,0
T101576,U10240,M1053,crypto,21.31,2026-04-02 07:07:48,0
T107520,U10056,M1029,crypto,59.43,2026-04-02 07:17:50,1
T103589,U10078,M1032,grocery,18.54,2026-04-02 07:54:24,0
T102685,U10268,M1042,utilities,20.45,2026-04-02 07:57:37,0
T107557,U10257,M1022,electronics,27.51,2026-04-02 08:18:51,0
T102425,U10030,M1036,fashion,14.78,2026-04-02 08:35:52,0
T105362,U10053,M1042,utilities,29.7,2026-04-02 09:03:14,0
T100941,U10171,M1031,travel,54.16,2026-04-02 09:04:44,0
T106359,U10293,M1017,electronics,73.81,2026-04-02 09:37:02,0
T100821,U10062,M1005,fashion,45.2,2026-04-02 09:43:13,0
T100137,U10045,M1051,electronics,15.44,2026-04-02 10:38:31,0
T107192,U10049,M1023,pharmacy,62.74,2026-04-02 10:49:57,0
T100652,U10019,M1029,crypto,15.06,2026-04-02 11:29:55,0
T104304,U10198,M1058,utilities,30.98,2026-04-02 11:40:25,0
T100026,U10043,M1042,utilities,39.26,2026-04-02 11:54:46,0
T102178,U10138,M1030,crypto,36.26,2026-04-02 13:22:02,0
T104836,U10283,M1027,fashion,53.32,2026-04-02 13:31:24,0
T100953,U10185,M1028,gambling,140.3,2026-04-02 13:39:13,0
T103935,U10082,M1022,electronics,119.76,2026-04-02 14:18:20,0
T107237,U10172,M1054,crypto,51.58,2026-04-02 14:19:08,0
T101615,U10286,M1034,fashion,27.62,2026-04-02 14:36:22,0
T107941,U10056,M1040,electronics,31.68,2026-04-02 15:08:57,0
T103473,U10288,M1005,fashion,236.56,2026-04-02 15:09:16,0
T105351,U10272,M1054,crypto,47.21,2026-04-02 15:13:05,0
T103393,U10269,M1038,travel,52.1,2026-04-02 15:28:31,0
T100717,U10294,M1023,pharmacy,218.64,2026-04-02 15:55:09,0
T104140,U10276,M1046,crypto,107.45,2026-04-02 15:55:14,0
T105746,U10053,M1048,restaurant,48.62,2026-04-02 16:07:53,0
T102934,U10130,M1018,fashion,14.77,2026-04-02 16:44:39,0
T104215,U10072,M1032,grocery,45.26,2026-04-02 16:51:44,0
T104867,U10193,M1035,grocery,15.94,2026-04-02 17:16:49,0
T101121,U10294,M1044,grocery,136.81,2026-04-02 17:17:52,0
T105277,U10258,M1037,fashion,18.48,2026-04-02 17:30:23,0
T106832,U10282,M1013,utilities,126.54,2026-04-02 17:47:25,0
T103147,U10124,M1034,fashion,36.52,2026-04-02 17:53:32,0
T107848,U10245,M1055,grocery,102.72,2026-04-02 18:17:46,0
T101382,U10131,M1040,electronics,134.0,2026-04-02 18:27:35,0
T101874,U10054,M1007,restaurant,38.47,2026-04-02 18:34:55,0
T100515,U10215,M1004,crypto,28.61,2026-04-02 18:58:12,0
T104982,U10092,M1027,fashion,46.32,2026-04-02 18:59:02,0
T103562,U10072,M1046,crypto,31.29,2026-04-02 19:00:52,1
